"","target","chk_ac_status","duration_month","credit_history","purpose","credit_amount","savings_ac_bond","p_employment_since","instalment_pct","personal_status","other_debtors_or_grantors","present_residence_since","property_type","age_in_yrs","other_instalment_type","housing_type","number_cards_this_bank","job","no_people_liable_for_mntnance","telephone","foreign_worker"
"815",0,"A11",48,"A32","A40",3931,"A61","A74",4,"A93","A101",4,"A124",46,"A143","A153",1,"A173",2,"A191","A201"
"816",1,"A12",36,"A33","A40",7432,"A61","A73",2,"A92","A101",2,"A122",54,"A143","A151",1,"A173",1,"A191","A201"
"817",1,"A14",6,"A32","A44",1338,"A63","A73",1,"A91","A101",4,"A121",62,"A143","A152",1,"A173",1,"A191","A201"
"818",1,"A14",6,"A34","A43",1554,"A61","A74",1,"A92","A101",2,"A123",24,"A143","A151",2,"A173",1,"A192","A201"
"819",1,"A11",36,"A32","A410",15857,"A61","A71",2,"A91","A102",3,"A123",43,"A143","A152",1,"A174",1,"A191","A201"
"820",0,"A11",18,"A32","A43",1345,"A61","A73",4,"A94","A101",3,"A121",26,"A141","A152",1,"A173",1,"A191","A201"
"821",1,"A14",12,"A32","A40",1101,"A61","A73",3,"A94","A101",2,"A121",27,"A143","A152",2,"A173",1,"A192","A201"
"822",1,"A13",12,"A32","A43",3016,"A61","A73",3,"A94","A101",1,"A123",24,"A143","A152",1,"A173",1,"A191","A201"
"823",0,"A11",36,"A32","A42",2712,"A61","A75",2,"A93","A101",2,"A122",41,"A141","A152",1,"A173",2,"A191","A201"
"824",1,"A11",8,"A34","A40",731,"A61","A75",4,"A93","A101",4,"A121",47,"A143","A152",2,"A172",1,"A191","A201"
"825",1,"A14",18,"A34","A42",3780,"A61","A72",3,"A91","A101",2,"A123",35,"A143","A152",2,"A174",1,"A192","A201"
"826",1,"A11",21,"A34","A40",1602,"A61","A75",4,"A94","A101",3,"A123",30,"A143","A152",2,"A173",1,"A192","A201"
"827",0,"A11",18,"A34","A40",3966,"A61","A75",1,"A92","A101",4,"A121",33,"A141","A151",3,"A173",1,"A192","A201"
"828",0,"A14",18,"A30","A49",4165,"A61","A73",2,"A93","A101",2,"A123",36,"A142","A152",2,"A173",2,"A191","A201"
"829",0,"A11",36,"A32","A41",8335,"A65","A75",3,"A93","A101",4,"A124",47,"A143","A153",1,"A173",1,"A191","A201"
"830",1,"A12",48,"A33","A49",6681,"A65","A73",4,"A93","A101",4,"A124",38,"A143","A153",1,"A173",2,"A192","A201"
"831",1,"A14",24,"A33","A49",2375,"A63","A73",4,"A93","A101",2,"A123",44,"A143","A152",2,"A173",2,"A192","A201"
"832",0,"A11",18,"A32","A40",1216,"A61","A72",4,"A92","A101",3,"A123",23,"A143","A151",1,"A173",1,"A192","A201"
"833",0,"A11",45,"A30","A49",11816,"A61","A75",2,"A93","A101",4,"A123",29,"A143","A151",2,"A173",1,"A191","A201"
"834",1,"A12",24,"A32","A43",5084,"A65","A75",2,"A92","A101",4,"A123",42,"A143","A152",1,"A173",1,"A192","A201"
"835",0,"A13",15,"A32","A43",2327,"A61","A72",2,"A92","A101",3,"A121",25,"A143","A152",NA,"A172",1,"A191","A201"
"836",0,"A11",12,"A30","A40",1082,"A61","A73",4,"A93","A101",4,"A123",48,"A141","A152",NA,"A173",1,"A191","A201"
"837",1,"A14",12,"A32","A43",886,"A65","A73",4,"A92","A101",2,"A123",21,"A143","A152",1,"A173",1,"A191","A201"
"838",1,"A14",4,"A32","A42",601,"A61","A72",1,"A92","A101",3,"A121",23,"A143","A151",1,"A172",2,"A191","A201"
"839",1,"A11",24,"A34","A41",2957,"A61","A75",4,"A93","A101",4,"A122",63,"A143","A152",2,"A173",1,"A192","A201"
"840",1,"A14",24,"A34","A43",2611,"A61","A75",4,"A94","A102",3,"A121",46,"A143","A152",NA,"A173",1,"A191","A201"
"841",0,"A11",36,"A32","A42",5179,"A61","A74",4,"A93","A101",2,"A122",29,"A143","A152",1,"A173",1,"A191","A201"
"842",1,"A14",21,"A33","A41",2993,"A61","A73",3,"A93","A101",2,"A121",28,"A142","A152",2,"A172",1,"A191","A201"
"843",0,"A14",18,"A32","A45",1943,"A61","A72",4,"A92","A101",4,"A121",23,"A143","A152",1,"A173",1,"A191","A201"
"844",1,"A14",24,"A31","A49",1559,"A61","A74",4,"A93","A101",4,"A123",50,"A141","A152",NA,"A173",1,"A192","A201"
"845",1,"A14",18,"A32","A42",3422,"A61","A75",4,"A93","A101",4,"A122",47,"A141","A152",3,"A173",2,"A192","A201"
"846",1,"A12",21,"A32","A42",3976,"A65","A74",2,"A93","A101",3,"A123",35,"A143","A152",1,"A173",1,"A192","A201"
"847",0,"A14",18,"A32","A40",6761,"A65","A73",2,"A93","A101",4,"A123",68,"A143","A151",2,"A173",1,"A191","A201"
"848",1,"A14",24,"A32","A40",1249,"A61","A72",4,"A94","A101",2,"A121",28,"A143","A152",1,"A173",1,"A191","A201"
"849",1,"A11",9,"A32","A43",1364,"A61","A74",3,"A93","A101",4,"A121",59,"A143","A152",1,"A173",1,"A191","A201"
"850",0,"A11",12,"A32","A43",709,"A61","A75",4,"A93","A101",4,"A121",57,"A142","A152",1,NA,1,"A191","A201"
"851",0,"A11",20,"A34","A40",2235,"A61","A73",4,"A94","A103",2,"A122",33,"A141","A151",2,"A173",1,"A191","A202"
"852",1,"A14",24,"A34","A41",4042,"A65","A74",3,"A93","A101",4,"A122",43,"A143","A152",2,"A173",1,"A192","A201"
"853",1,"A14",15,"A34","A43",1471,"A61","A73",4,"A93","A101",4,"A124",35,"A143","A153",2,"A173",1,"A192","A201"
"854",0,"A11",18,"A31","A40",1442,"A61","A74",4,"A93","A101",4,"A124",32,"A143","A153",2,"A172",2,"A191","A201"
"855",1,"A14",36,"A33","A40",10875,"A61","A75",2,"A93","A101",2,"A123",45,"A143","A152",2,"A173",2,"A192","A201"
"856",1,"A14",24,"A32","A40",1474,"A62","A72",4,"A94","A101",3,"A121",33,"A143",NA,NA,"A173",1,"A192","A201"
"857",1,"A14",10,"A32","A48",894,"A65","A74",4,"A92","A101",3,"A122",40,"A143","A152",1,NA,1,"A192","A201"
"858",1,"A14",15,"A34","A42",3343,"A61","A73",4,"A93","A101",2,"A124",28,"A143","A153",1,NA,1,"A192","A201"
"859",0,"A11",15,"A32","A40",3959,"A61","A73",3,"A92","A101",2,"A122",29,"A143","A152",1,"A173",1,"A192","A201"
"860",1,"A14",9,"A32","A40",3577,"A62","A73",1,"A93","A103",2,"A121",26,"A143","A151",1,"A173",2,"A191","A202"
"861",1,"A14",24,"A34","A41",5804,"A64","A73",4,"A93","A101",2,"A121",27,"A143","A152",2,"A173",1,"A191","A201"
"862",0,"A14",18,"A33","A49",2169,"A61","A73",4,"A94","A101",2,"A123",28,"A143","A152",1,"A173",1,"A192","A201"
"863",0,"A11",24,"A32","A43",2439,"A61","A72",4,"A92","A101",4,"A121",35,"A143","A152",1,"A173",1,"A192","A201"
"864",1,"A14",27,"A34","A42",4526,"A64","A72",4,"A93","A101",2,"A121",32,"A142",NA,NA,"A172",2,"A192","A201"
"865",0,"A14",10,"A32","A42",2210,"A61","A73",2,"A93","A101",2,"A121",25,"A141","A151",1,"A172",1,"A191","A201"
"866",1,"A14",15,"A32","A42",2221,"A63","A73",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173",1,"A191","A201"
"867",1,"A11",18,"A32","A43",2389,"A61","A72",4,"A92","A101",1,"A123",27,"A142","A152",1,NA,1,"A191","A201"
"868",1,"A14",12,"A34","A42",3331,"A61","A75",2,"A93","A101",4,"A122",42,"A142","A152",1,"A173",1,"A191","A201"
"869",1,"A14",36,"A32","A49",7409,"A65","A75",3,"A93","A101",2,"A122",37,"A143","A152",2,"A173",1,"A191","A201"
"870",1,"A11",12,"A32","A42",652,"A61","A75",4,"A92","A101",4,"A122",24,"A143","A151",1,"A173",1,"A191","A201"
"871",1,"A14",36,"A33","A42",7678,"A63","A74",2,"A92","A101",4,"A123",40,"A143","A152",2,"A173",1,"A192","A201"
"872",1,"A13",6,"A34","A40",1343,"A61","A75",1,"A93","A101",4,"A121",46,"A143","A152",2,"A173",2,"A191","A202"
"873",1,"A11",24,"A34","A49",1382,"A62","A74",4,"A93","A101",1,"A121",26,"A143","A152",2,"A173",1,"A192","A201"
"874",1,"A14",15,"A32","A44",874,"A65","A72",4,"A92","A101",1,"A121",24,"A143","A152",1,"A173",1,"A191","A201"
"875",1,"A11",12,"A32","A42",3590,"A61","A73",2,"A93","A102",2,"A122",29,"A143","A152",1,"A172",2,"A191","A201"
"876",1,"A12",11,"A34","A40",1322,"A64","A73",4,"A92","A101",4,"A123",40,"A143","A152",2,"A173",1,"A191","A201"
"877",1,"A11",18,"A31","A43",1940,"A61","A72",3,"A93","A102",4,"A124",36,"A141","A153",1,"A174",1,"A192","A201"
"878",1,"A14",36,"A32","A43",3595,"A61","A75",4,"A93","A101",2,"A123",28,"A143","A152",1,"A173",1,"A191","A201"
"879",0,"A11",9,"A32","A40",1422,"A61","A72",3,"A93","A101",2,"A124",27,"A143","A153",1,"A174",1,"A192","A201"
"880",1,"A14",30,"A34","A43",6742,"A65","A74",2,"A93","A101",3,"A122",36,"A143","A152",2,"A173",1,"A191","A201"
"881",1,"A14",24,"A32","A41",7814,"A61","A74",3,"A93","A101",3,"A123",38,"A143","A152",NA,"A174",1,"A192","A201"
"882",1,"A14",24,"A32","A41",9277,"A65","A73",2,"A91","A101",4,"A124",48,"A143","A153",1,"A173",1,"A192","A201"
"883",1,"A12",30,"A34","A40",2181,"A65","A75",4,"A93","A101",4,"A121",36,"A143","A152",2,"A173",1,"A191","A201"
"884",1,"A14",18,"A34","A43",1098,"A61","A71",4,"A92","A101",4,"A123",65,"A143","A152",2,"A171",1,"A191","A201"
"885",0,"A12",24,"A32","A42",4057,"A61","A74",3,"A91","A101",3,"A123",43,"A143","A152",1,"A173",1,"A192","A201"
"886",0,"A11",12,"A32","A46",795,"A61","A72",4,"A92","A101",4,"A122",53,"A143","A152",NA,"A173",1,"A191","A201"
"887",1,"A12",24,"A34","A49",2825,"A65","A74",4,"A93","A101",3,"A124",34,"A143","A152",2,"A173",2,"A192","A201"
"888",0,"A12",48,"A32","A49",15672,"A61","A73",2,"A93","A101",2,"A123",23,"A143","A152",1,"A173",1,"A192","A201"
"889",1,"A14",36,"A34","A40",6614,"A61","A75",4,"A93","A101",4,"A123",34,"A143","A152",2,"A174",1,"A192","A201"
"890",1,"A14",28,"A31","A41",7824,"A65","A72",3,"A93","A103",4,"A121",40,"A141","A151",2,"A173",2,"A192","A201"
"891",1,"A11",27,"A34","A49",2442,"A61","A75",4,"A93","A101",4,"A123",43,"A142","A152",4,"A174",2,"A192","A201"
"892",1,"A14",15,"A34","A43",1829,"A61","A75",4,"A93","A101",4,"A123",46,"A143","A152",2,"A173",1,"A192","A201"
"893",1,"A11",12,"A34","A40",2171,"A61","A73",4,"A93","A101",4,"A122",38,"A141","A152",2,"A172",1,"A191","A202"
"894",1,"A12",36,"A34","A41",5800,"A61","A73",3,"A93","A101",4,"A123",34,"A143","A152",2,"A173",1,"A192","A201"
"895",1,"A14",18,"A34","A43",1169,"A65","A73",4,"A93","A101",3,"A122",29,"A143","A152",2,"A173",1,"A192","A201"
"896",1,"A14",36,"A33","A41",8947,"A65","A74",3,"A93","A101",2,"A123",31,"A142","A152",1,"A174",2,"A192","A201"
"897",1,"A11",21,"A32","A43",2606,"A61","A72",4,"A92","A101",4,"A122",28,"A143","A151",1,"A174",1,"A192","A201"
"898",1,"A14",12,"A34","A42",1592,"A64","A74",3,"A92","A101",2,"A122",35,"A143","A152",1,"A173",1,"A191","A202"
"899",1,"A14",15,"A32","A42",2186,"A65","A74",1,"A92","A101",4,"A121",33,"A141","A151",1,"A172",1,"A191","A201"
"900",0,"A11",18,"A32","A42",4153,"A61","A73",2,"A93","A102",3,"A123",42,"A143","A152",1,"A173",1,"A191","A201"
"901",0,"A11",16,"A34","A40",2625,"A61","A75",2,"A93","A103",4,"A122",43,"A141","A151",1,"A173",1,"A192","A201"
"902",1,"A14",20,"A34","A40",3485,"A65","A72",2,"A91","A101",4,"A121",44,"A143","A152",2,"A173",1,"A192","A201"
"903",1,"A14",36,"A34","A41",10477,"A65","A75",2,"A93","A101",4,"A124",42,"A143","A153",2,"A173",1,"A191","A201"
"904",1,"A14",15,"A32","A43",1386,"A65","A73",4,"A94","A101",2,"A121",40,"A143","A151",1,"A173",1,"A192","A201"
"905",1,"A14",24,"A32","A43",1278,"A61","A75",4,"A93","A101",1,"A121",36,"A143","A152",1,"A174",1,"A192","A201"
"906",1,"A11",12,"A32","A43",1107,"A61","A73",2,"A93","A101",2,"A121",20,"A143","A151",1,"A174",2,"A192","A201"
"907",1,"A11",21,"A32","A40",3763,"A65","A74",2,"A93","A102",2,"A121",24,"A143",NA,1,"A172",1,"A191","A202"
"908",1,"A12",36,"A32","A46",3711,"A65","A73",2,"A94","A101",2,"A123",27,"A143","A152",1,"A173",1,"A191","A201"
"909",1,"A14",15,"A33","A41",3594,"A61","A72",1,"A92","A101",2,"A122",46,"A143","A152",2,"A172",1,"A191","A201"
"910",1,"A12",9,"A32","A40",3195,"A65","A73",1,"A92","A101",2,"A121",33,"A143",NA,1,"A172",1,"A191","A201"
"911",1,"A14",36,"A33","A43",4454,"A61","A73",4,"A92","A101",4,"A121",34,"A143","A152",2,"A173",1,"A191","A201"
"912",0,"A12",24,"A34","A42",4736,"A61","A72",2,"A92","A101",4,"A123",25,"A141","A152",1,"A172",1,"A191","A201"
"913",1,"A12",30,"A32","A43",2991,"A65","A75",2,"A92","A101",4,"A123",25,"A143","A152",1,"A173",1,"A191","A201"
"914",1,"A14",11,"A32","A49",2142,"A64","A75",1,"A91","A101",2,"A121",28,"A143","A152",1,"A173",1,"A192","A201"
"915",0,"A11",24,"A31","A49",3161,"A61","A73",4,"A93","A101",2,"A122",31,"A143","A151",1,"A173",1,"A192","A201"
"916",0,"A12",48,"A30","A410",18424,"A61","A73",1,"A92","A101",2,"A122",32,"A141","A152",1,"A174",1,"A192","A202"
"917",1,"A14",10,"A32","A41",2848,"A62","A73",1,"A93","A102",2,"A121",32,"A143","A152",1,"A173",2,"A191","A201"
"918",0,"A11",6,"A32","A40",14896,"A61","A75",1,"A93","A101",4,"A124",68,"A141","A152",1,"A174",1,"A192","A201"
"919",0,"A11",24,"A32","A42",2359,"A62","A71",1,"A91","A101",1,"A122",33,"A143","A152",1,"A173",1,"A191","A201"
"920",0,"A11",24,"A32","A42",3345,"A61","A75",4,"A93","A101",2,"A122",39,"A143","A151",1,"A174",1,"A192","A201"
"921",1,"A14",18,"A34","A42",1817,"A61","A73",4,"A92","A101",2,"A124",28,"A143",NA,2,"A173",1,"A191","A201"
"922",1,"A14",48,"A33","A43",12749,"A63","A74",4,"A93","A101",1,"A123",37,"A143","A152",1,"A174",1,"A192","A201"
"923",0,"A11",9,"A32","A43",1366,"A61","A72",3,"A92","A101",4,"A122",22,"A143","A151",1,"A173",1,"A191","A201"
"924",1,"A12",12,"A32","A40",2002,"A61","A74",3,"A93","A101",4,"A122",30,"A143","A151",1,"A173",2,"A192","A201"
"925",0,"A11",24,"A31","A42",6872,"A61","A72",2,"A91","A101",1,"A122",55,"A141","A152",1,"A173",1,"A192","A201"
"926",0,"A11",12,"A31","A40",697,"A61","A72",4,"A93","A101",2,"A123",46,"A141","A152",NA,"A173",1,"A192","A201"
"927",1,"A11",18,"A34","A42",1049,"A61","A72",4,"A92","A101",4,"A122",21,"A143",NA,1,"A173",1,"A191","A201"
"928",0,"A11",48,"A32","A41",10297,"A61","A74",4,"A93","A101",4,"A124",39,"A142","A153",3,"A173",2,"A192","A201"
"929",1,"A14",30,"A32","A43",1867,"A65","A75",4,"A93","A101",4,"A123",58,"A143",NA,1,"A173",1,"A192","A201"
"930",1,"A11",12,"A33","A40",1344,"A61","A73",4,"A93","A101",2,"A121",43,"A143","A152",2,"A172",2,"A191","A201"
"931",1,"A11",24,"A32","A42",1747,"A61","A72",4,"A93","A102",1,"A122",24,"A143","A152",1,"A172",1,"A191","A202"
"932",0,"A12",9,"A32","A43",1670,"A61","A72",4,"A92","A101",2,"A123",22,"A143","A152",1,"A173",1,"A192","A201"
"933",1,"A14",9,"A34","A40",1224,"A61","A73",3,"A93","A101",1,"A121",30,"A143","A152",2,"A173",1,"A191","A201"
"934",1,"A14",12,"A34","A43",522,"A63","A75",4,"A93","A101",4,"A122",42,"A143","A152",2,"A173",2,"A192","A201"
"935",1,"A11",12,"A32","A43",1498,"A61","A73",4,"A92","A101",1,"A123",23,"A141",NA,1,"A173",1,"A191","A201"
"936",0,"A12",30,"A33","A43",1919,"A62","A72",4,"A93","A101",3,"A124",30,"A142","A152",2,"A174",1,"A191","A201"
"937",0,"A13",9,"A32","A43",745,"A61","A73",3,"A92","A101",2,"A121",28,"A143","A152",1,"A172",1,"A191","A201"
"938",1,"A12",6,"A32","A43",2063,"A61","A72",4,"A94","A101",3,"A123",30,"A143","A151",1,"A174",1,"A192","A201"
"939",0,"A12",60,"A32","A46",6288,"A61","A73",4,"A93","A101",4,"A124",42,"A143","A153",1,"A173",1,"A191","A201"
"940",1,"A14",24,"A34","A41",6842,"A65","A73",2,"A93","A101",4,"A122",46,"A143","A152",2,"A174",2,"A192","A201"
"941",1,"A14",12,"A32","A40",3527,"A65","A72",2,"A93","A101",3,"A122",45,"A143","A152",1,"A174",2,"A192","A201"
"942",1,"A14",10,"A32","A40",1546,"A61","A73",3,"A93","A101",2,"A121",31,"A143","A152",1,"A172",2,"A191","A202"
"943",1,"A14",24,"A32","A42",929,"A65","A74",4,"A93","A101",2,"A123",31,"A142","A152",1,"A173",1,"A192","A201"
"944",1,"A14",4,"A34","A40",1455,"A61","A74",2,"A93","A101",1,"A121",42,"A143","A152",3,"A172",2,"A191","A201"
"945",1,"A11",15,"A32","A42",1845,"A61","A72",4,"A92","A103",1,"A122",46,"A143","A151",1,"A173",1,"A191","A201"
"946",1,"A12",48,"A30","A40",8358,"A63","A72",1,"A92","A101",1,"A123",30,"A143","A152",NA,"A173",1,"A191","A201"
"947",0,"A11",24,"A31","A42",3349,"A63","A72",4,"A93","A101",4,"A124",30,"A143","A153",1,"A173",2,"A192","A201"
"948",1,"A14",12,"A32","A40",2859,"A65","A71",4,"A93","A101",4,"A124",38,"A143","A152",1,"A174",1,"A192","A201"
"949",0,"A14",18,"A32","A42",1533,"A61","A72",4,"A94","A102",1,"A122",43,"A143","A152",1,"A172",2,"A191","A201"
"950",0,"A14",24,"A32","A43",3621,"A62","A75",2,"A93","A101",4,"A123",31,"A143","A152",2,"A173",1,"A191","A201"
"951",1,"A12",18,"A34","A49",3590,"A61","A71",3,"A94","A101",3,"A123",40,"A143","A152",3,"A171",2,"A192","A201"
"952",0,"A11",36,"A33","A49",2145,"A61","A74",2,"A93","A101",1,"A123",24,"A143","A152",NA,"A173",1,"A192","A201"
"953",0,"A12",24,"A32","A41",4113,"A63","A72",3,"A92","A101",4,"A123",28,"A143","A151",1,"A173",1,"A191","A201"
"954",0,"A14",36,"A32","A42",10974,"A61","A71",4,"A92","A101",2,"A123",26,"A143","A152",2,"A174",1,"A192","A201"
"955",1,"A11",12,"A32","A40",1893,"A61","A73",4,"A92","A103",4,"A122",29,"A143","A152",NA,NA,1,"A192","A201"
"956",1,"A11",24,"A34","A43",1231,"A64","A75",4,"A92","A101",4,"A122",57,"A143","A151",2,"A174",1,"A192","A201"
"957",1,"A13",30,"A34","A43",3656,"A65","A75",4,"A93","A101",4,"A122",49,"A142","A152",2,"A172",1,"A191","A201"
"958",1,"A12",9,"A34","A43",1154,"A61","A75",2,"A93","A101",4,"A121",37,"A143","A152",3,"A172",1,"A191","A201"
"959",0,"A11",28,"A32","A40",4006,"A61","A73",3,"A93","A101",2,"A123",45,"A143","A152",1,"A172",1,"A191","A201"
"960",1,"A12",24,"A32","A42",3069,"A62","A75",4,"A93","A101",4,"A124",30,"A143","A153",1,"A173",1,"A191","A201"
"961",1,"A14",6,"A34","A43",1740,"A61","A75",2,"A94","A101",2,"A121",30,"A143","A151",2,"A173",1,"A191","A201"
"962",1,"A12",21,"A33","A40",2353,"A61","A73",1,"A91","A101",4,"A122",47,"A143","A152",2,"A173",1,"A191","A201"
"963",1,"A14",15,"A32","A40",3556,"A65","A73",3,"A93","A101",2,"A124",29,"A143","A152",1,"A173",1,"A191","A201"
"964",0,"A14",24,"A32","A43",2397,"A63","A75",3,"A93","A101",2,"A123",35,"A141","A152",2,"A173",1,"A192","A201"
"965",1,"A12",6,"A32","A45",454,"A61","A72",3,"A94","A101",1,"A122",22,"A143","A152",1,"A172",1,"A191","A201"
"966",1,"A12",30,"A32","A43",1715,"A65","A73",4,"A92","A101",1,"A123",26,"A143","A152",1,"A173",1,"A191","A201"
"967",0,"A12",27,"A34","A43",2520,"A63","A73",4,"A93","A101",2,"A122",23,"A143","A152",2,"A172",1,"A191","A201"
"968",1,"A14",15,"A32","A43",3568,"A61","A75",4,"A92","A101",2,"A123",54,"A141","A151",1,"A174",1,"A192","A201"
"969",1,"A14",42,"A32","A43",7166,"A65","A74",2,"A94","A101",4,"A122",29,"A143",NA,1,"A173",1,"A192","A201"
"970",1,"A11",11,"A34","A40",3939,"A61","A73",1,"A93","A101",2,"A121",40,"A143","A152",2,"A172",2,"A191","A201"
"971",1,"A12",15,"A32","A45",1514,"A62","A73",4,"A93","A103",2,"A121",22,"A143","A152",1,"A173",1,"A191","A201"
"972",1,"A14",24,"A32","A40",7393,"A61","A73",1,"A93","A101",4,"A122",43,"A143","A152",1,"A172",2,"A191","A201"
"973",0,"A11",24,"A31","A40",1193,"A61","A71",1,"A92","A102",4,"A124",29,"A143","A151",NA,"A171",1,"A191","A201"
"974",0,"A11",60,"A32","A49",7297,"A61","A75",4,"A93","A102",4,"A124",36,"A143","A151",1,"A173",1,"A191","A201"
"975",1,"A14",30,"A34","A43",2831,"A61","A73",4,"A92","A101",2,"A123",33,"A143","A152",1,"A173",1,"A192","A201"
"976",1,"A13",24,"A32","A43",1258,"A63","A73",3,"A92","A101",3,"A123",57,"A143",NA,1,"A172",1,"A191","A201"
"977",1,"A12",6,"A32","A43",753,"A61","A73",2,"A92","A103",3,"A121",64,"A143","A152",1,"A173",1,"A191","A201"
"978",1,"A12",18,"A33","A49",2427,"A65","A75",4,"A93","A101",2,"A122",42,"A143","A152",2,"A173",1,"A191","A201"
"979",0,"A14",24,"A33","A40",2538,"A61","A75",4,"A93","A101",4,"A123",47,"A143","A152",2,"A172",2,"A191","A201"
"980",0,"A12",15,"A31","A40",1264,"A62","A73",2,"A94","A101",2,"A122",25,"A143","A151",1,"A173",1,"A191","A201"
"981",0,"A12",30,"A34","A42",8386,"A61","A74",2,"A93","A101",2,"A122",49,"A143","A152",1,"A173",1,"A191","A201"
"982",0,"A14",48,"A32","A49",4844,"A61","A71",3,"A93","A101",2,"A123",33,"A141","A151",1,"A174",1,"A192","A201"
"983",1,"A13",21,"A32","A40",2923,"A62","A73",1,"A92","A101",1,"A123",28,"A141","A152",1,NA,1,"A192","A201"
"984",0,"A11",36,"A32","A41",8229,"A61","A73",2,"A93","A101",2,"A122",26,"A143","A152",1,"A173",2,"A191","A201"
"985",1,"A14",24,"A34","A42",2028,"A61","A74",2,"A93","A101",2,"A122",30,"A143","A152",2,"A172",1,"A191","A201"
"986",1,"A11",15,"A34","A42",1433,"A61","A73",4,"A92","A101",3,"A122",25,"A143","A151",NA,"A173",1,"A191","A201"
"987",1,"A13",42,"A30","A49",6289,"A61","A72",2,"A91","A101",1,"A122",33,"A143","A152",2,"A173",1,"A191","A201"
"988",1,"A14",13,"A32","A43",1409,"A62","A71",2,"A92","A101",4,"A121",64,"A143","A152",1,"A173",1,"A191","A201"
"989",1,"A11",24,"A32","A41",6579,"A61","A71",4,"A93","A101",2,"A124",29,"A143","A153",1,"A174",1,"A192","A201"
"990",1,"A12",24,"A34","A43",1743,"A61","A75",4,"A93","A101",2,"A122",48,"A143","A152",2,"A172",1,"A191","A201"
"991",1,"A14",12,"A34","A46",3565,"A65","A72",2,"A93","A101",1,"A122",37,"A143","A152",2,"A172",2,"A191","A201"
"992",1,"A14",15,"A31","A43",1569,"A62","A75",4,"A93","A101",4,"A123",34,"A141","A152",1,"A172",2,"A191","A201"
"993",1,"A11",18,"A32","A43",1936,"A65","A74",2,"A94","A101",4,"A123",23,"A143","A151",2,"A172",1,"A191","A201"
"994",1,"A11",36,"A32","A42",3959,"A61","A71",4,"A93","A101",3,"A122",30,"A143","A152",1,"A174",1,"A192","A201"
"995",1,"A14",12,"A32","A40",2390,"A65","A75",4,"A93","A101",3,"A123",50,"A143","A152",1,"A173",1,"A192","A201"
"996",1,"A14",12,"A32","A42",1736,"A61","A74",3,"A92","A101",4,"A121",31,"A143","A152",1,"A172",1,"A191","A201"
"997",1,"A11",30,"A32","A41",3857,"A61","A73",4,"A91","A101",4,"A122",40,"A143","A152",1,"A174",1,"A192","A201"
"998",1,"A14",12,"A32","A43",804,"A61","A75",4,"A93","A101",4,"A123",38,"A143","A152",1,"A173",1,"A191","A201"
"999",0,"A11",45,"A32","A43",1845,"A61","A73",4,"A93","A101",4,"A124",23,"A143","A153",1,"A173",1,"A192","A201"
"1000",1,"A12",45,"A34","A41",4576,"A62","A71",3,"A93","A101",4,"A123",27,"A143","A152",1,"A173",1,"A191","A201"
